Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
87;Bruno Amione;ARG;DF;Hellas Verona;Serie A;211;1;58;0;0;0
88;Bruno Amione;ARG;DF;Sampdoria;Serie A;2110;10;790;0;0.57;0.11
89;Nadiem Amiri;GER;MFFW;Leverkusen;Bundesliga;2615;5;636;2;1.69;0.7
90;Ethan Ampadu;WAL;DFMF;Spezia;Serie A;2216;16;1360;0;0.79;0.26
91;Sofyan Amrabat;MAR;MF;Fiorentina;Serie A;2618;14;1165;0;0.54;0.16
92;Joachim Andersen;DEN;DF;Crystal Palace;Premier League;2617;17;1477;1;0.67;0.3
93;Elliot Anderson;SCO;FWMF;Newcastle Utd;Premier League;2010;0;121;0;3.08;0.77
94;Felipe Anderson;BRA;FW;Lazio;Serie A;2922;20;1687;6;1.18;0.64
95;Benjamin Andr�;FRA;MF;Lille;Ligue 1;3220;20;1756;1;0.77;0.1
96;Komnen Andri?;SRB;FW;Clermont Foot;Ligue 1;2723;15;1250;4;1.94;0.79
97;Robert Andrich;GER;MF;Leverkusen;Bundesliga;2818;17;1416;2;1.02;0.25
98;Angeli�o;ESP;DF;Hoffenheim;Bundesliga;2619;18;1597;0;0.62;0.17
99;Fabrizio Angileri;ARG;DF;Getafe;La Liga;288;7;510;0;0.53;0
100;Jaidon Anthony;ENG;MFFW;Bournemouth;Premier League;2317;7;783;3;1.95;1.15
101;Janis Antiste;FRA;FW;Sassuolo;Serie A;202;0;52;1;1.67;1.67
102;Waldemar Anton;GER;DF;Stuttgart;Bundesliga;2620;20;1794;1;0.75;0.2
103;Marcos Ant�nio;BRA;MF;Lazio;Serie A;2211;3;311;0;0;0
104;Michail Antonio;JAM;FW;West Ham;Premier League;3221;11;1051;2;2.05;0.68
105;Antony;BRA;FW;Manchester Utd;Premier League;2212;11;908;3;3.27;1.39
106;Valentin Antov;BUL;DF;Monza;Serie A;224;1;172;0;0;0
107;Christopher Antwi-Adjei;GHA;FWMF;Bochum;Bundesliga;2915;8;788;2;1.48;0.45
108;Anuar;MAR;MFFW;Valladolid;La Liga;283;3;210;1;1.3;0.43
109;Houssem Aouar;FRA;MF;Lyon;Ligue 1;249;6;402;1;1.33;0.67
110;Adil Aouchiche;FRA;MFFW;Lorient;Ligue 1;206;0;85;0;3.33;1.11
111;Dennis Appiah;FRA;DFMF;Nantes;Ligue 1;3015;9;795;0;0.57;0.11
112;Mauro Arambarri;URU;MF;Getafe;La Liga;277;7;587;0;0.92;0
113;Charles Ar�nguiz;CHI;MF;Leverkusen;Bundesliga;3310;4;493;1;0.91;0.36
114;Ronald Ara�jo;URU;DF;Barcelona;La Liga;2310;10;859;0;0.63;0
115;Cameron Archer;ENG;FWMF;Aston Villa;Premier League;216;0;49;0;0;0
116;Ta�ryk Arconte;FRA;FWMF;Brest;Ligue 1;192;0;32;0;2.5;2.5
117;Alphonse Areola;FRA;GK;West Ham;Premier League;292;0;107;0;0;0
118;Joe Aribo;NGA;MFFW;Southampton;Premier League;2619;11;1094;2;1.07;0.66
119;Adam Armstrong;ENG;FW;Southampton;Premier League;2620;12;1027;1;1.67;0.79
120;Stuart Armstrong;SCO;MFFW;Southampton;Premier League;3018;7;767;1;1.53;0.35
121;Marko Arnautovi?;AUT;FW;Bologna;Serie A;3314;14;1189;8;1.59;0.76
122;Maximilian Arnold;GER;MF;Wolfsburg;Bundesliga;2820;20;1728;4;1.04;0.36
123;Kepa Arrizabalaga;ESP;GK;Chelsea;Premier League;2814;14;1215;0;0;0
124;Roberto Arroyo;ESP;MF;Valladolid;La Liga;191;0;15;0;0;0
125;Tolgay Arslan;GER;MF;Udinese;Serie A;3220;10;815;1;2.09;0.55
126;Arthur;BRA;FW;Fiorentina;Serie A;2416;6;663;3;3.24;1.22
127;Santiago Arzamendia;PAR;MFDF;C�diz;La Liga;248;3;299;0;0.91;0.3
128;Takuma Asano;JPN;FWMF;Bochum;Bundesliga;2811;8;637;1;2.68;0.85
129;Santiago Ascac�bar;ARG;MF;Cremonese;Serie A;2513;7;727;0;1.73;0.37
130;Sergio Asenjo;ESP;GK;Valladolid;La Liga;335;5;450;0;0;0
131;Marco Asensio;ESP;FWMF;Real Madrid;La Liga;2715;5;500;2;3.75;1.07
132;Kristoffer Askildsen;NOR;MF;Lecce;Serie A;2216;6;592;0;1.36;0.45
133;Fisnik Asllani;KVX;FWMF;Hoffenheim;Bundesliga;204;0;60;0;2.86;0
134;Kristjan Asllani;ALB;MF;Inter;Serie A;2012;2;295;0;1.82;0
135;Iago Aspas;ESP;FW;Celta Vigo;La Liga;3520;18;1662;9;2.27;1.03
136;Lorenz Assignon;TOG;DF;Rennes;Ligue 1;226;2;194;0;1.36;0.45
137;Youcef Atal;ALG;DFMF;Nice;Ligue 1;2613;7;637;1;1.27;0.7
138;Pierre-Emerick Aubameyang;GAB;FW;Chelsea;Premier League;3311;4;433;1;2.08;1.04
139;Pierre-Emerick Aubameyang;GAB;FW;Barcelona;La Liga;331;0;9;0;10;0
140;Emil Audero;ITA;GK;Sampdoria;Serie A;2621;21;1890;0;0;0
141;Tommaso Augello;ITA;DF;Sampdoria;Serie A;2820;18;1626;1;0.33;0.11
142;Ludwig Augustinsson;SWE;DF;Aston Villa;Premier League;283;1;77;0;2.22;1.11
143;Ludwig Augustinsson;SWE;DF;Mallorca;La Liga;281;1;71;0;0;0
144;Serge Aurier;CIV;DF;Nott'ham Forest;Premier League;3014;12;1082;1;0.5;0.17
145;Mathias Autret;FRA;MFFW;Auxerre;Ligue 1;3119;15;1191;2;1.52;0.83
146;Ezequiel �vila;ARG;FWMF;Osasuna;La Liga;2918;16;1161;7;3.1;1.4
147;C�dric Avinel;GLP;DF;Ajaccio;Ligue 1;3614;12;1102;1;0.16;0.08
148;Taiwo Awoniyi;NGA;FW;Nott'ham Forest;Premier League;2516;9;730;4;2.35;0.99
149;Mehmet-Can Aydin;GER;DF;Schalke 04;Bundesliga;2110;1;295;0;1.52;0
150;Andr� Ayew;GHA;FW;Nott'ham Forest;Premier League;332;0;29;0;0;0
151;Jordan Ayew;GHA;FWMF;Crystal Palace;Premier League;3122;18;1497;1;0.78;0.36
152;Kaan Ayhan;TUR;DF;Sassuolo;Serie A;2810;5;545;0;0.16;0.16
153;Luke Ayling;ENG;DF;Leeds United;Premier League;3114;7;704;0;0.9;0.13
154;Ayman Azhil;MAR;MF;Leverkusen;Bundesliga;211;0;1;0;0;0
155;Sardar Azmoun;IRN;MFFW;Leverkusen;Bundesliga;2810;2;311;0;3.43;1.14
156;C�sar Azpilicueta;ESP;DF;Chelsea;Premier League;3318;10;1023;0;0.44;0.09
157;Sanoussy Ba;GER;DF;RB Leipzig;Bundesliga;191;0;1;0;0;0
158;Iddrisu Baba;GHA;MF;Mallorca;La Liga;2717;12;995;0;0.63;0
159;Sr?an Babi?;SRB;DF;Almer�a;La Liga;2618;17;1575;1;0.29;0.17
160;Lo�c Bade;FRA;DF;Sevilla;La Liga;226;5;448;0;0.2;0
161;Lo�c Bade;FRA;DF;Rennes;Ligue 1;221;1;90;0;2;0
162;�dgar Bad�a;ESP;GK;Elche;La Liga;3120;20;1800;0;0;0
163;Beno�t Badiashile;FRA;DF;Chelsea;Premier League;214;4;360;0;1;0.25
164;Beno�t Badiashile;FRA;DF;Monaco;Ligue 1;2111;9;839;2;0.54;0.32
165;Alex Baena;ESP;MFFW;Villarreal;La Liga;2118;10;1039;4;2.96;1.13
166;Jaime B�ez;URU;DF;Cremonese;Serie A;272;1;96;0;1.82;0
167;Leon Bailey;JAM;FWMF;Aston Villa;Premier League;2520;17;1317;4;2.4;0.82
168;Eric Bailly;CIV;DF;Marseille;Ligue 1;287;3;351;0;0.51;0
169;D�nys Bain;FRA;DF;Auxerre;Ligue 1;292;1;126;0;0;0
170;Brandon Baiye;BEL;MF;Clermont Foot;Ligue 1;227;0;51;0;0;0
171;Stefan Bajcetic;ESP;MF;Liverpool;Premier League;185;2;194;1;0.91;0.45
172;Nedim Bajrami;ALB;MFFW;Empoli;Serie A;2319;8;941;1;2;0.67
173;Nedim Bajrami;ALB;MF;Sassuolo;Serie A;231;0;24;0;6.67;3.33
174;C�dric Bakambu;COD;MF;Marseille;Ligue 1;313;0;59;0;0;0
175;Mitchel Bakker;NED;MFDF;Leverkusen;Bundesliga;2217;11;968;2;0.93;0.37
176;Ridle Baku;GER;DF;Wolfsburg;Bundesliga;2420;19;1730;5;1.09;0.47
177;Tommaso Baldanzi;ITA;MF;Empoli;Serie A;1913;11;769;4;1.41;0.82
178;Alejandro Balde;ESP;DF;Barcelona;La Liga;1918;15;1210;0;0.45;0.15
179;Thierno Balde;FRA;DF;Troyes;Ligue 1;2018;16;1319;0;0.27;0
180;Carlos Baleba;CMR;MF;Lille;Ligue 1;199;3;269;0;2;0.33
181;Mikel Balenziaga;ESP;DF;Athletic Club;La Liga;341;0;45;0;0;0
182;Leonardo Balerdi;ARG;DF;Marseille;Ligue 1;2423;20;1765;0;0.15;0
183;Iv�n Balliu;ALB;DF;Rayo Vallecano;La Liga;3120;20;1793;0;0.25;0.05
184;Fod� Ballo-Tour�;SEN;DF;Milan;Serie A;263;2;196;1;0.45;0.45
185;Folarin Balogun;ENG;FW;Reims;Ligue 1;2121;18;1591;14;3.33;1.58
186;Abdoulaye Bamba;CIV;DF;Angers;Ligue 1;329;4;555;0;0;0
187;Jonathan Bamba;FRA;FW;Lille;Ligue 1;2618;16;1454;4;2.47;0.93
188;Patrick Bamford;ENG;FW;Leeds United;Premier League;2914;6;593;1;3.03;1.36
189;Lameck Banda;ZAM;FWMF;Lecce;Serie A;2222;11;1051;1;1.79;0.6
190;Filippo Bandinelli;ITA;MF;Empoli;Serie A;2722;18;1506;2;1.08;0.3
191;L�o Baptist�o;BRA;FWMF;Almer�a;La Liga;3016;13;949;3;2.95;0.86
192;Shandon Baptiste;GRN;MF;Brentford;Premier League;2412;4;431;0;0.42;0.21
193;Anton�n Bar�k;CZE;MF;Hellas Verona;Serie A;281;0;25;0;0;0
194;Anton�n Bar�k;CZE;MF;Fiorentina;Serie A;2817;11;999;1;1.44;0.27
195;Andrea Barberis;ITA;MF;Monza;Serie A;297;3;316;0;0.57;0
196;Bradley Barcola;FRA;FWMF;Lyon;Ligue 1;2012;3;336;1;2.7;0.81
197;Melvin Bard;FRA;DF;Nice;Ligue 1;2220;16;1498;0;0.18;0
198;Keidi Bare;ALB;MF;Espanyol;La Liga;2511;3;330;0;1.08;0.54
199;Nicol� Barella;ITA;MF;Inter;Serie A;2620;19;1609;5;0.95;0.45
200;Kike Barja;ESP;FWMF;Osasuna;La Liga;2510;4;387;1;0.93;0.7
201;Ross Barkley;ENG;FWMF;Nice;Ligue 1;2915;6;615;3;3.24;1.18
202;Aymen Barkok;MAR;MF;Mainz 05;Bundesliga;2411;2;307;0;2.35;0.29
203;Harvey Barnes;ENG;MFFW;Leicester City;Premier League;2520;20;1696;8;2.5;1.22
204;Leandro Barreiro Martins;LUX;MF;Mainz 05;Bundesliga;2318;12;1083;0;1.33;0.58
205;Ander Barrenetxea;ESP;FWDF;Real Sociedad;La Liga;217;2;191;1;0.95;0.95
206;Micka�l Barreto;FRA;MF;Ajaccio;Ligue 1;327;3;343;0;1.05;0
207;Pablo Barrios;ESP;MF;Atl�tico Madrid;La Liga;195;3;269;0;1.67;0.67
208;Musa Barrow;GAM;FWMF;Bologna;Serie A;2415;10;763;2;3.29;0.71
209;Federico Baschirotto;ITA;DF;Lecce;Serie A;2622;22;1980;3;0.55;0.14
210;Toma Ba�i?;CRO;MF;Lazio;Serie A;2614;4;373;0;1.46;0.73
211;Gil Basti�o Dias;POR;FW;Stuttgart;Bundesliga;262;1;113;0;3.08;0.77
212;Alessandro Bastoni;ITA;DF;Inter;Serie A;2317;15;1267;0;0.71;0.21
213;Simone Bastoni;ITA;MFDF;Spezia;Serie A;2613;12;946;2;1.9;0.57
214;Rodrigo Battaglia;ARG;MF;Mallorca;La Liga;3113;8;660;0;0.27;0
215;Maximilian Bauer;GER;DF;Augsburg;Bundesliga;2315;12;1040;0;0.69;0
216;Oliver Baumann;GER;GK;Hoffenheim;Bundesliga;3220;20;1800;0;0;0
217;Timo Baumgartl;GER;DF;Union Berlin;Bundesliga;264;4;314;0;1.14;0.57
218;Julian Baumgartlinger;AUT;MF;Augsburg;Bundesliga;357;2;278;0;0.97;0
219;Christoph Baumgartner;AUT;MFFW;Hoffenheim;Bundesliga;2320;20;1600;5;2.53;0.73
220;Cyrille Bayala;BFA;MF;Ajaccio;Ligue 1;2622;16;1266;1;1.06;0.35
221;Brian Bayeye;FRA;DF;Torino;Serie A;221;1;54;0;0;0
222;Noah Joel Sarenren Bazee;NGA;FW;Augsburg;Bundesliga;261;0;9;0;0;0
223;Gavin Bazunu;IRL;GK;Southampton;Premier League;2022;22;1980;0;0;0
224;Beb�;CPV;FW;Rayo Vallecano;La Liga;324;0;60;0;5.71;0
225;Ihlas Bebou;TOG;FWDF;Hoffenheim;Bundesliga;285;4;310;2;2.35;1.47
226;Rodrigo Bec�o;BRA;DF;Udinese;Serie A;2715;15;1322;1;0.61;0.2
227;Mads Bech S�rensen;DEN;DFMF;Brentford;Premier League;244;0;21;0;0;0
228;Julius Beck;DEN;MF;Spezia;Serie A;171;0;10;0;0;0
229;Sheraldo Becker;SUR;FW;Union Berlin;Bundesliga;2820;20;1454;7;2.1;0.93
230;Jan Bednarek;POL;DF;Southampton;Premier League;264;4;339;0;1.32;0
231;Jan Bednarek;POL;DF;Aston Villa;Premier League;263;1;100;0;0;0
232;Donny van de Beek;NED;MF;Manchester Utd;Premier League;257;2;167;0;1.05;0
233;Asmir Begovi?;BIH;GK;Everton;Premier League;351;1;90;0;0;0
234;Yanis Begraoui;FRA;FWMF;Toulouse;Ligue 1;213;1;65;0;0;0
235;Kevin Behrens;GER;FW;Union Berlin;Bundesliga;3220;7;758;4;1.43;0.83
236;Alexis Beka Beka;FRA;MF;Nice;Ligue 1;218;3;276;0;0.97;0.32
237;J�r�mie Bela;ANG;DFMF;Clermont Foot;Ligue 1;2914;7;643;1;1.27;0.42
238;Youcef Bela�li;ALG;MFFW;Ajaccio;Ligue 1;3012;10;780;5;2.18;0.69
239;Youcef Bela�li;ALG;FWMF;Brest;Ligue 1;306;4;356;0;2.25;0.25
240;Haris Belkebla;ALG;MF;Brest;Ligue 1;2922;16;1492;1;0.42;0.12
241;Stefan Bell;GER;DF;Mainz 05;Bundesliga;3116;12;1140;0;0.24;0
242;Armel Bella Kotchap;GER;DF;Southampton;Premier League;2113;13;1026;0;0.88;0.09
243;Raoul Bellanova;ITA;DFMF;Inter;Serie A;2210;0;159;0;1.11;0
244;Karim Bellarabi;GER;FW;Leverkusen;Bundesliga;326;1;82;0;0;0
245;Jean-Ricner Bellegarde;FRA;MF;Strasbourg;Ligue 1;2419;19;1589;1;1.19;0.34
246;H�ctor Beller�n;ESP;DF;Barcelona;La Liga;273;1;143;0;0;0
247;Jude Bellingham;ENG;MF;Dortmund;Bundesliga;1919;19;1690;4;2.07;0.74
248;Jean�el Belocian;FRA;DF;Rennes;Ligue 1;171;0;8;0;0;0
249;Andrea Belotti;ITA;FW;Roma;Serie A;2918;2;406;0;1.78;0.89
250;Fran Beltr�n;ESP;MF;Celta Vigo;La Liga;2420;18;1614;0;0.89;0.06
251;Eliesse Ben Seghir;FRA;FW;Monaco;Ligue 1;177;6;466;3;2.88;0.96
252;Salim Ben Seghir;FRA;MF;Marseille;Ligue 1;191;0;4;0;0;0
253;Wissam Ben Yedder;FRA;FW;Monaco;Ligue 1;3219;16;1135;14;2.46;1.59
254;Marco Benassi;ITA;DF;Fiorentina;Serie A;282;1;93;0;0;0
255;Marco Benassi;ITA;MF;Cremonese;Serie A;283;2;185;0;1.9;0.95
256;Isma�l Bennacer;ALG;MF;Milan;Serie A;2519;16;1413;1;0.45;0.13
257;Sa�d Benrahma;ALG;FWMF;West Ham;Premier League;2720;12;1193;3;2.86;0.83
258;Ramy Bensebaini;ALG;DF;M'Gladbach;Bundesliga;2718;18;1608;5;1.4;0.45
259;Nabil Bentaleb;ALG;MF;Angers;Ligue 1;2818;17;1518;2;1.18;0.36
260;Rodrigo Bentancur;URU;MF;Tottenham;Premier League;2518;17;1500;5;0.9;0.54
261;Karim Benzema;FRA;FW;Real Madrid;La Liga;3512;12;1046;9;4.05;1.38
262;Domenico Berardi;ITA;FW;Sassuolo;Serie A;2813;10;914;4;4.31;0.78
263;Yuri Berchiche;ESP;DF;Athletic Club;La Liga;3312;11;946;0;1.24;0.29
264;�lex Berenguer;ESP;FW;Athletic Club;La Liga;2720;16;1366;3;1.97;0.66
265;Bartosz Bereszy?ski;POL;DF;Sampdoria;Serie A;3015;15;1198;0;0.23;0
266;Patrick Berg;NOR;MFFW;Lens;Ligue 1;253;0;25;0;0;0
267;Mitchell van Bergen;NED;FWDF;Reims;Ligue 1;2318;5;629;0;2.43;1.29
268;Mergim Berisha;GER;FW;Augsburg;Bundesliga;2414;14;1143;6;2.91;0.79
269;Quentin Bernard;FRA;DF;Auxerre;Ligue 1;337;7;630;0;0;0
270;Paul Bernardoni;FRA;GK;Angers;Ligue 1;2514;14;1260;0;0;0
271;Juan Bernat;ESP;DF;Paris S-G;Ligue 1;2917;11;994;1;0.45;0.36
272;Victor Bernth Kristiansen;DEN;DF;Leicester City;Premier League;202;2;170;0;0.53;0
273;Jason Berthomier;FRA;MF;Clermont Foot;Ligue 1;332;0;23;0;0;0
274;Beto;GNB;FW;Udinese;Serie A;2521;13;1203;7;2.31;0.9
275;Owen Bevan;WAL;DF;Bournemouth;Premier League;191;0;9;0;0;0
276;Matteo Bianchetti;ITA;DF;Cremonese;Serie A;2915;13;1243;1;0.43;0.29
277;Alessandro Bianco;ITA;MF;Fiorentina;Serie A;203;2;112;0;1.67;0.83
278;Giulian Biancone;FRA;DF;Nott'ham Forest;Premier League;222;0;17;0;0;0
279;Ermin Bi?ak?i?;BIH;DF;Hoffenheim;Bundesliga;332;0;59;0;0;0
280;Pedro Bigas;ESP;DF;Elche;La Liga;3217;16;1278;0;0.85;0.35
281;Jaka Bijol;SVN;DF;Udinese;Serie A;2417;17;1383;2;0.65;0.19
282;El Bilal Tour�;MLI;FW;Almer�a;La Liga;2115;11;935;4;2.31;1.06
283;El Bilal Tour�;MLI;FW;Reims;Ligue 1;213;1;91;0;1;1
284;Philip Billing;DEN;MFFW;Bournemouth;Premier League;2621;19;1555;4;1.16;0.58
285;Jean-Claude Billong;CMR;MF;Clermont Foot;Ligue 1;291;0;23;0;0;0
286;Cristiano Biraghi;ITA;DF;Fiorentina;Serie A;3020;19;1622;0;0.78;0.06
287;Samuele Birindelli;ITA;DF;Monza;Serie A;2318;10;880;0;1.22;0.31
288;Veljko Birman?evi?;SRB;FWMF;Toulouse;Ligue 1;2414;1;268;0;2;0.33
289;Tom Bischof;GER;MFFW;Hoffenheim;Bundesliga;176;3;235;0;1.92;0.38
290;Yves Bissouma;MLI;MF;Tottenham;Premier League;2620;8;814;0;0.56;0
291;Kristijan Bistrovi?;CRO;MF;Lecce;Serie A;2411;5;461;0;1.57;0.2
292;Leonardo Bittencourt;GER;MFDF;Werder Bremen;Bundesliga;2914;12;860;2;1.35;0.63
293;Marco Bizot;NED;GK;Brest;Ligue 1;3121;21;1890;0;0;0
294;Blanco;ESP;MF;C�diz;La Liga;223;2;158;0;0;0
295;Lautaro Blanco;ARG;MFDF;Elche;La Liga;235;2;230;0;0;0
296;Rub�n Blanco;ESP;GK;Marseille;Ligue 1;274;4;360;0;0;0
