Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;2220;19;1596;1;1.53;0.28
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;3522;22;1980;0;0.86;0.05
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;2314;8;770;0;1.05;0.35
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;2220;20;1799;1;0.6;0.15
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;3015;15;1165;0;0.31;0
6;Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;261;0;11;0;0;0
7;Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;195;2;185;1;4.29;1.43
8;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;1911;0;107;1;5;1.67
9;Abner;BRA;DF;Betis;La Liga;224;3;272;0;0.67;0.33
10;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;2222;17;1507;5;2.75;1.02
11;Tammy Abraham;ENG;FW;Roma;Serie A;2522;18;1582;6;2.67;1.25
12;Francesco Acerbi;ITA;DF;Inter;Serie A;3514;12;1110;0;0.49;0
13;Mohamed Achi;FRA;FW;Nantes;Ligue 1;212;0;36;0;2.5;0
14;Marcos Acu�a;ARG;DF;Sevilla;La Liga;3116;12;985;2;1.47;0.37
15;Che Adams;SCO;FW;Southampton;Premier League;2621;18;1577;4;2.06;0.74
16;Tyler Adams;USA;MF;Leeds United;Premier League;2319;19;1706;0;0.11;0
17;Sargis Adamyan;ARM;FWMF;K�ln;Bundesliga;2916;3;471;1;3.46;1.73
18;Tosin Adarabioyo;ENG;DF;Fulham;Premier League;2514;12;1095;1;0.33;0.16
19;Martin Adeline;FRA;MFFW;Reims;Ligue 1;195;0;107;0;0.83;0
20;Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;2115;11;765;2;2.24;0.94
21;Amine Adli;FRA;FW;Leverkusen;Bundesliga;2213;6;652;1;1.94;0.69
22;Yacine Adli;FRA;MFFW;Milan;Serie A;224;1;116;0;1.54;1.54
23;Michel Aebischer;SUI;FWMF;Bologna;Serie A;2618;8;775;1;1.16;0.23
24;Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;2012;2;359;0;2.5;0.25
25;Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;2519;18;1599;0;0.79;0.11
26;Lucien Agoume;FRA;MF;Troyes;Ligue 1;215;4;286;0;0.31;0
27;Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;233;0;49;0;2;0
28;�lvaro Aguado;ESP;MF;Valladolid;La Liga;2619;12;1130;0;0.71;0.16
29;Kevin Agudelo;COL;MFFW;Spezia;Serie A;2421;16;1443;0;1.13;0.31
30;Nayef Aguerd;MAR;DF;West Ham;Premier League;266;5;515;0;0.88;0
31;Ruben Aguilar;FRA;DF;Monaco;Ligue 1;2913;7;615;0;0.29;0.29
32;Naouirou Ahamada;FRA;MFFW;Crystal Palace;Premier League;202;0;16;0;5;0
33;Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;2017;17;1398;2;1.03;0.32
34;Amar Ahmed;SWE;FW;Troyes;Ligue 1;181;0;20;0;0;0
35;Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;2819;10;834;1;0.97;0.32
36;Joseph Aidoo;GHA;DF;Celta Vigo;La Liga;2720;20;1800;2;0.45;0.1
37;Ola Aina;NGA;DF;Torino;Serie A;2612;8;676;1;0.93;0.4
38;Rayan A�t Nouri;FRA;DF;Wolves;Premier League;2117;9;913;1;0.99;0.5
39;Emanuel Aiwum;AUT;DF;Cremonese;Serie A;2215;11;1029;0;0.26;0.09
40;Kristoffer Ajer;NOR;DF;Brentford;Premier League;249;9;763;0;0.12;0
41;Ludovic Ajorque;FRA;FW;Strasbourg;Ligue 1;2813;9;771;1;2.56;0.81
42;Ludovic Ajorque;FRA;FW;Mainz 05;Bundesliga;284;3;231;0;2.69;0.77
43;Manuel Akanji;SUI;DF;Manchester City;Premier League;2715;14;1286;0;0.77;0.14
44;Nathan Ak�;NED;DF;Manchester City;Premier League;2715;13;1156;0;0.31;0
45;Sergio Akieme;ESP;DF;Almer�a;La Liga;2521;21;1890;0;1.05;0.29
46;Maghnes Akliouche;FRA;MFDF;Monaco;Ligue 1;206;3;248;0;0.36;0.36
47;Paul Akouokou;CIV;MF;Betis;La Liga;256;2;238;0;0.77;0.38
48;Jean-Daniel Akpa-Akpro;CIV;MF;Empoli;Serie A;3012;7;606;0;1.04;0.3
49;Kevin Akpoguma;NGA;DF;Hoffenheim;Bundesliga;2716;10;1030;0;0.53;0.09
50;David Alaba;AUT;DF;Real Madrid;La Liga;3017;15;1365;1;0.59;0.07
51;Tom�s Alarc�n;CHI;MF;C�diz;La Liga;244;2;223;0;0.8;0.4
52;Lucas Alario;ARG;FW;Eint Frankfurt;Bundesliga;3012;2;248;1;3.21;0.71
53;Jordi Alba;ESP;DF;Barcelona;La Liga;3314;9;931;1;0.87;0.19
54;Luis Alberto;ESP;MF;Lazio;Serie A;3019;11;1053;4;1.45;0.6
55;Ra�l Albiol;ESP;DF;Villarreal;La Liga;3717;17;1519;0;0.06;0
56;Marc Albrighton;ENG;FWMF;Leicester City;Premier League;336;1;237;1;0.77;0.38
57;Thiago Alc�ntara;ESP;MF;Liverpool;Premier League;3114;14;1154;0;0.7;0.08
58;Carlos Alcaraz;ARG;MF;Southampton;Premier League;203;1;134;1;2.67;0.67
59;Rub�n Alcaraz;ESP;MF;C�diz;La Liga;3116;11;1008;1;1.52;0.18
60;Omar Alderete;PAR;DF;Getafe;La Liga;268;7;630;0;0.71;0.14
61;Iv�n Alejo;ESP;MFFW;C�diz;La Liga;2816;8;729;0;1.48;0.25
62;Do�an Alemdar;TUR;GK;Rennes;Ligue 1;203;2;225;0;0;0
63;Carles Ale��;ESP;MF;Getafe;La Liga;2519;19;1455;2;1.3;0.49
64;Trent Alexander-Arnold;ENG;DF;Liverpool;Premier League;2420;17;1441;1;1.31;0.19
65;Alejandro Alfaro;ESP;MF;Elche;La Liga;201;0;15;0;0;0
66;�ngel Algobia;ESP;MF;Getafe;La Liga;2314;9;747;0;0.36;0
67;Mohamed Ali Cho;FRA;FW;Real Sociedad;La Liga;198;3;317;0;3.14;1.43
68;Faride Alidou;GER;DFMF;Eint Frankfurt;Bundesliga;219;0;123;0;1.43;0
69;Alisson;BRA;GK;Liverpool;Premier League;3020;20;1800;0;0;0
70;Jim Allevinah;GAB;DFFW;Clermont Foot;Ligue 1;2721;13;1220;1;1.4;0.29
71;Dele Alli;ENG;MF;Everton;Premier League;262;0;40;0;0;0
72;Domingos Andr� Ribeiro Almeida;POR;MF;Valencia;La Liga;2218;14;1255;2;0.79;0.36
73;Miguel Almir�n;PAR;FW;Newcastle Utd;Premier League;2922;22;1816;10;2.33;0.74
74;Marcos Alonso;ESP;DF;Barcelona;La Liga;3212;6;620;1;0.43;0.14
75;Micka�l Alphonse;GLP;DF;Ajaccio;Ligue 1;3317;9;854;0;0.74;0.11
76;�der �lvarez Balanta;COL;MF;Schalke 04;Bundesliga;291;1;58;0;0;0
77;Carlos �lvarez;ESP;FW;Sevilla;La Liga;191;0;10;0;0;0
78;Gast�n �lvarez;URU;DF;Getafe;La Liga;2210;5;571;2;0.32;0.32
79;Juli�n �lvarez;ARG;FWMF;Manchester City;Premier League;2316;5;578;4;2.97;1.25
80;Agust�n �lvarez Mart�nez;URU;FWMF;Sassuolo;Serie A;2116;1;296;1;3.33;0.91
81;Yeray �lvarez;ESP;DF;Athletic Club;La Liga;2818;18;1565;1;0.34;0.06
82;Ibrahim Amadou;FRA;DFMF;Angers;Ligue 1;296;4;401;0;0.44;0
83;Daniel Amartey;GHA;DF;Leicester City;Premier League;2817;15;1365;0;0.2;0.13
84;Amath;SEN;MFFW;Mallorca;La Liga;2614;3;494;1;1.82;0.73
85;Jordan Amavi;FRA;DF;Getafe;La Liga;284;1;193;0;0;0
86;Kelvin Amian;FRA;DF;Spezia;Serie A;2515;11;1049;0;0.77;0.09
