1:3,36
2:4,108
3:5,81
4:4,23
5:5,80
6:5,118
7:8,7
8:9,42
9:10,9
10:12,5
11:13,79
12:14,39
13:14,69
14:4,34
15:17,17
16:18,78
17:42,54
18:20,117
19:21,105+1
20:23,83
21:23,90+11
22:24,35
23:4,73
24:27,17
25:15,33
26:27,51
27:28,55
28:27,67
29:29,90+2
30:30,58
39:32,43
40:33,55
41:35,7
42:36,29
43:37,36
44:38,76
45:21,11
46:18,44
47:5,74
48:5,90+1
49:41,39
50:42,45+3
51:43,57
52:45,10
53:46,45+1
54:47,81
55:48,76
56:4,35
57:14,57
58:51,27
59:52,90+1
60:53,5
61:56,26
62:56,32
63:60,26
64:61,35
65:62,20
66:63,44
67:64,48
68:66,4
69:67,23
70:71,58
71:72,10
72:73,73
73:73,85
74:74,90
76:75,48
77:76,51
78:77,12
79:83,90+5
80:84,47
81:85,52
82:86,46
83:14,67
84:88,67
85:89,70
87:91,26
88:92,49
89:94,38
90:96,50
91:97,52
92:96,68
93:99,29
94:100,64
95:101,66
96:102,45+1
97:103,45+3
98:60,53
104:104,58
105:104,61
106:105,24
107:106,34
108:106,68
109:108,81
110:110,73
111:111,90+2
112:113,36
113:114,44
114:113,70
115:115,90+4
116:116,2
117:77,62
118:74,83
119:118,23
120:119,39
121:120,82
122:5,61
123:5,86
124:122,68
125:4,64
126:124,87
127:125,90+9
128:126,90+11
129:127,78
130:128,41
131:129,48
132:130,84
133:91,6
134:131,49
135:132,78
136:29,80
137:133,73
138:134,89
139:265,65
140:36,62
141:36,73
142:75,75
143:135,83
145:136,11
146:137,21
147:138,54
148:139,74
149:140,90
150:77,90+2
156:142,48
157:83,53
158:4,10
159:144,27
160:18,32
161:5,68
162:18,71
163:145,9
164:146,35
165:43,43
166:147,45+1
167:43,62
168:96,71
169:148,90
170:149,65
181:91,84
182:150,90+9
185:131,31
186:131,16
187:151,59
188:5,65
189:33,28
190:152,69
191:164,38
192:153,4
193:154,82
194:33,68
195:152,109
196:155,5
197:157,30
198:158,59
199:160,31
200:161,115
201:113,39
202:162,101
203:163,40
204:164,61
205:166,76
206:167,32
207:187,90+3
208:42,57
209:21,51
210:171,88
211:173,69
212:174,74
213:175,90+4
214:176,48
215:177,52
216:253,42
217:152,4
218:179,1
223:180,57
224:5,64
225:5,68
226:3,41
227:181,48
228:182,90+3
234:183,7
235:183,62
236:15,55
237:185,59
238:187,74
239:190,51
240:193,51
241:194,66
242:51,90+3
243:195,90+6
244:197,50
246:200,31
247:201,88
248:202,56
249:204,36
250:205,68
251:208,18
252:209,50
253:211,53
254:33,90
256:4,14
257:213,86
259:83,90+5
260:216,22
265:217,10
266:183,90
267:219,19
268:220,90+1
269:221,14
270:67,81
271:222,45
272:223,8
273:224,36
274:223,40
275:42,62
276:225,78
277:177,34
278:227,78
279:228,12
280:229,71
281:187,40
282:230,70
283:231,75
284:232,16
285:232,45+3
286:154,51
287:233,90
288:234,18
289:194,90+3
295:195,90+3
296:236,66
298:237,48
299:238,90+5
300:239,32
301:240,90+1
302:21,90+7
303:241,49
304:241,75
305:60,5
306:242,52
307:62,90
310:243,53
311:244,80
312:245,90+1
313:247,54
314:248,39
315:249,73
317:250,86
318:251,61
319:160,59
320:253,62
321:216,73
322:255,48
323:232,69
324:232,75
325:42,11
326:42,90+1
328:256,56
329:257,35
330:240,20
331:259,50
333:182,19
334:260,23
339:262,59
344:263,89
345:265,44
346:265,88
347:247,24
348:247,55
349:266,58
350:267,12
351:160,43
352:253,71
353:160,90+1
354:268,90+5
355:46,17
356:270,90+1
357:325,3
358:271,90
359:272,11
360:273,23
361:238,24
362:238,26
363:274,29
364:275,69
365:275,79
376:276,13
377:205,7
378:277,69
379:286,80
380:167,93
381:232,105
382:278,107
383:275,92
384:279,119
385:280,120+1
386:281,88
387:282,48
388:283,52
389:284,90+1
390:277,18
391:285,32
392:286,29
393:286,50
394:272,55
395:265,80
396:287,57
397:173,77
398:288,60
399:289,6
400:290,23
401:291,59
402:292,83
403:293,82
404:241,4
405:241,47
406:4,3
407:4,45+1
408:213,50
409:62,6
410:62,31
411:62,71
412:294,81
413:295,45+1
414:296,55
415:296,82
416:286,90
417:297,42
418:298,74
419:299,36
420:300,69
421:301,82
422:302,77
423:45,90+2
424:33,87
425:303,72
426:304,75
427:236,82
428:305,26
429:21,17
430:21,35
431:306,49
432:307,84
433:195,50
434:308,72
435:288,26
436:309,28
437:280,38
438:310,62
444:311,64
445:312,81
446:313,5
447:314,90+5
448:315,51
449:273,71
450:133,54
451:287,63
452:283,44
453:200,81
454:242,87
455:18,17
456:316,18
457:317,40
458:318,67
459:319,73
470:320,31
471:131,34
472:131,65
473:286,64
474:248,70
475:321,73
476:217,39
477:217,85
478:322,75
479:323,21
480:324,20
481:325,58
482:45,68
484:326,20
485:327,43
486:328,11
487:33,48
488:152,61
489:152,73
490:174,70
491:255,80
493:329,74
494:330,68
495:276,32
496:272,45+1
497:272,78
498:272,12
499:133,82
500:312,1
501:331,86
502:332,48
503:333,90+3
504:131,22
505:4,65
506:334,85
507:335,6
508:336,58
509:286,90+3
510:337,54
511:338,57
512:339,84
513:183,24
514:340,37
515:341,35
516:342,50
517:298,64
518:321,66
519:227,16
520:325,44
521:324,53
522:343,65
523:325,72
524:324,80
528:285,12
529:344,14
530:345,90+2
531:323,35
532:21,29
533:271,90+1
534:21,71
535:346,116
536:183,28
537:347,51
538:272,19
539:348,56
540:274,82
541:349,73
542:347,41
543:350,90+2
544:351,18
545:281,70
546:324,73
547:272,3
548:273,68
549:352,74
550:273,89
551:299,83
552:281,53
553:281,68
554:353,10
555:347,55
556:354,45+2
557:324,18
558:281,84
559:367,90+4
560:355,35
561:356,38
562:353,59
563:273,20
564:357,32
565:272,67
566:272,70
567:358,37
568:359,26
569:360,33
570:359,52
571:236,71
572:217,8
573:217,80
574:361,68
575:362,5
576:287,93
577:401,62
578:363,14
579:364,20
580:365,82
581:366,47
582:299,24
583:346,37
584:367,25
585:367,73
586:368,89
587:369,81
588:370,90+2
589:371,81
590:227,17
591:372,30
592:295,87
593:325,36
594:373,83
595:395,65
596:374,23
597:279,60
598:323,69
599:375,73
600:376,84
601:217,43
602:377,70
603:378,20
604:379,37
605:380,12
606:381,38
607:382,49
609:383,77
610:384,89
611:385,29
612:386,53
613:387,56
614:388,60
615:389,81
616:265,87
617:388,89
624:299,17
625:299,51
626:390,27
627:391,86
628:392,7
629:356,25
630:356,50
631:393,62
632:394,79
633:375,11
634:395,10
635:396,33
636:397,61
637:398,38
638:399,13
639:400,42
640:401,48
641:402,82
642:360,33
643:360,76
644:360,80
645:361,45+1
646:403,44
647:404,71
648:380,16
649:236,64
651:345,34
652:405,52
653:347,24
654:406,90+5
655:347,80
656:407,90+3
657:367,50
658:408,55
659:393,72
660:409,89
661:410,63
662:411,39
663:412,79
664:287,85
665:357,8
666:273,26
667:272,68
668:413,70
669:381,7
670:414,52
671:415,4
