Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1;Max Aarons;ENG;DF;Norwich City;Premier League;2234;32;2881;0;0.41;0.06
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;3434;34;2983;0.06;0.54;0.18
3;Salis Abdul Samed;GHA;MF;Clermont Foot;Ligue 1;2231;29;2462;0.04;0.66;0.18
4;Laurent Abergel;FRA;MF;Lorient;Ligue 1;2934;34;2956;0;0.91;0.21
5;Charles Abi;FRA;FW;Saint-�tienne;Ligue 1;221;1;45;0;0;0
6;Dickson Abiama;NGA;FW;Greuther F�rth;Bundesliga;2324;5;726;0;2.22;0.49
7;Matthis Abline;FRA;FW;Rennes;Ligue 1;197;1;103;0;1.82;0
8;Tammy Abraham;ENG;FW;Roma;Serie A;2437;36;3084;0.5;2.71;0.93
9;Luis Abram;PER;DF;Granada;La Liga;268;6;560;0;0.32;0
10;Francesco Acerbi;ITA;DF;Lazio;Serie A;3430;29;2536;0.14;0.57;0.25
11;Ragnar Ache;GER;MFFW;Eint Frankfurt;Bundesliga;2313;1;259;0;3.79;0.69
12;Mohamed Achi;FRA;MF;Nantes;Ligue 1;201;0;10;0;0;0
13;Marcos Acu�a;ARG;DF;Sevilla;La Liga;3031;26;2260;0.04;0.68;0.2
14;Che Adams;SCO;FW;Southampton;Premier League;2530;23;2039;0.31;2.16;1.06
15;Tyler Adams;USA;MF;RB Leipzig;Bundesliga;2324;12;1351;0;0.13;0
16;Sargis Adamyan;ARM;FWMF;Hoffenheim;Bundesliga;2913;2;331;0.27;0.81;0.54
17;Martin Adeline;FRA;MFFW;Reims;Ligue 1;188;2;352;0;1.03;0.26
18;Amine Adli;FRA;FWMF;Leverkusen;Bundesliga;2225;13;1256;0.21;2.71;1.36
19;Yacine Adli;FRA;MFFW;Bordeaux;Ligue 1;2136;25;2260;0.04;1.31;0.6
20;Michel Aebischer;SUI;MF;Bologna;Serie A;2512;4;443;0;0.41;0.41
21;Felix Afena-Gyan;GHA;FWMF;Roma;Serie A;1917;6;668;0.27;2.43;0.95
22;Martin Agirregabiria;ESP;DF;Alav�s;La Liga;2624;17;1616;0;0.28;0
23;Julen Agirrezabala;ESP;GK;Athletic Club;La Liga;214;4;360;0;0;0
24;Lucien Agoume;FRA;MF;Brest;Ligue 1;2027;21;1868;0;0.77;0.05
25;Kevin Agudelo;COL;MFFW;Spezia;Serie A;2323;12;1237;0.22;1.61;0.8
26;Nayef Aguerd;MAR;DF;Rennes;Ligue 1;2631;31;2735;0.07;0.82;0.23
27;Sergio Ag�ero;ARG;FW;Barcelona;La Liga;334;2;151;0.59;3.53;0.59
28;Ruben Aguilar;FRA;DF;Monaco;Ligue 1;2928;22;2140;0;0.42;0.08
29;�lvaro Aguirre;ESP;FW;Rayo Vallecano;La Liga;221;0;9;0;0;0
30;Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;203;0;61;0;0;0
31;Anel Ahmedhodzic;BIH;DF;Bordeaux;Ligue 1;2315;15;1350;0;0.47;0.27
32;Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;2825;11;1004;0.09;1.52;0.18
33;Joseph Aidoo;GHA;DF;Celta Vigo;La Liga;2632;30;2637;0;0.2;0.03
34;Ola Aina;NGA;DF;Torino;Serie A;2521;17;1437;0;0.63;0.25
35;Rayan A�t Nouri;FRA;DF;Wolves;Premier League;2023;20;1828;0.05;0.64;0.2
36;Kristoffer Ajer;NOR;DF;Brentford;Premier League;2424;23;1995;0.05;0.32;0.05
37;Ludovic Ajorque;REU;FW;Strasbourg;Ligue 1;2836;31;2738;0.39;1.94;0.79
38;Manuel Akanji;SUI;DF;Dortmund;Bundesliga;2626;25;2261;0.04;0.56;0.12
39;Carlos Akapo;EQG;DF;C�diz;La Liga;2925;21;1844;0;0.49;0.05
40;Marley Ak�;FRA;MFFW;Juventus;Serie A;214;0;77;0;0;0
41;Nathan Ak�;NED;DF;Manchester City;Premier League;2714;10;923;0.19;0.49;0.19
42;Ilias Akhomach;ESP;FW;Barcelona;La Liga;182;2;124;0;2.86;1.43
43;Maghnes Akliouche;FRA;MFFW;Monaco;Ligue 1;207;0;54;0;3.33;1.67
44;Paul Akouokou;CIV;MF;Betis;La Liga;248;6;516;0;0.35;0
45;Jean-Daniel Akpa-Akpro;CIV;MF;Lazio;Serie A;2910;4;315;0;0.86;0
46;Kevin Akpoguma;NGA;DF;Hoffenheim;Bundesliga;2726;19;1527;0.12;0.71;0.24
47;David Alaba;AUT;DF;Real Madrid;La Liga;2930;30;2642;0.07;0.71;0.2
48;Sofiane Alakouch;MAR;DFMF;Metz;Ligue 1;234;0;158;0;0.56;0
49;Tom�s Alarc�n;CHI;MF;C�diz;La Liga;2323;16;1425;0;0.95;0.13
50;Lucas Alario;ARG;FW;Leverkusen;Bundesliga;2927;5;655;0.82;3.15;1.78
51;Jordi Alba;ESP;DF;Barcelona;La Liga;3330;30;2644;0.07;1.05;0.2
52;Josu� Albert;GUF;DF;Clermont Foot;Ligue 1;302;0;22;0;5;0
53;Luis Alberto;ESP;MF;Lazio;Serie A;2934;27;2353;0.19;1.8;0.61
54;Ra�l Albiol;ESP;DF;Villarreal;La Liga;3628;28;2465;0;0.22;0.04
55;Marc Albrighton;ENG;FWDF;Leicester City;Premier League;3217;11;1132;0.08;0.32;0.08
56;Paco Alc�cer;ESP;FW;Villarreal;La Liga;2818;10;787;0.11;2.18;0.92
57;Thiago Alc�ntara;ESP;MF;Liverpool;Premier League;3125;17;1534;0.06;1.47;0.35
58;Rub�n Alcaraz;ESP;MF;C�diz;La Liga;3114;12;1105;0.16;1.87;0.49
59;Omar Alderete;PAR;DF;Valencia;La Liga;2529;28;2403;0.07;0.64;0.19
60;Iv�n Alejo;ESP;MFFW;C�diz;La Liga;2720;11;1065;0.17;1.02;0.34
61;Do�an Alemdar;TUR;GK;Rennes;Ligue 1;1912;12;1080;0;0;0
62;Carles Ale��;ESP;MF;Getafe;La Liga;2433;30;2320;0.04;1.82;0.54
63;Trent Alexander-Arnold;ENG;DF;Liverpool;Premier League;2332;32;2853;0.06;1.61;0.44
64;Mircea Alexandru Tirlea;ROU;DF;Alav�s;La Liga;221;0;15;0;0;0
65;Mohamed Ali Cho;FRA;FW;Angers;Ligue 1;1832;21;1837;0.2;2.06;0.74
66;Alisson;BRA;GK;Liverpool;Premier League;2936;36;3240;0;0;0
67;Allan;BRA;MF;Everton;Premier League;3128;25;2183;0;0.29;0.12
68;Jim Allevinah;GAB;FW;Clermont Foot;Ligue 1;2730;13;1488;0.06;2.55;0.91
69;Dele Alli;ENG;MF;Everton;Premier League;2611;1;338;0;0.79;0
70;Dele Alli;ENG;MFFW;Tottenham;Premier League;2610;8;657;0.14;0.55;0.27
71;Miguel Almir�n;PAR;MFFW;Newcastle Utd;Premier League;2830;19;1716;0.05;1.68;0.37
72;Marcos Alonso;ESP;DF;Chelsea;Premier League;3128;25;2167;0.17;1.78;0.41
73;Giorgio Altare;ITA;DF;Cagliari;Serie A;2319;17;1466;0.06;1.1;0.37
74;Hugo �lvarez;ESP;FW;Celta Vigo;La Liga;361;0;11;0;10;0
75;Yeray �lvarez;ESP;DF;Athletic Club;La Liga;2722;21;1860;0;0.39;0
76;Dani Alves;BRA;DF;Barcelona;La Liga;3914;13;1098;0.08;0.41;0.16
77;Steven Alzate;COL;MF;Brighton;Premier League;239;5;404;0;0.22;0.22
78;Ibrahim Amadou;FRA;DFMF;Metz;Ligue 1;2910;10;812;0.11;0.33;0.22
79;Emmanuel Amankwaa Akurugu;GHA;DF;Getafe;La Liga;203;1;79;0;1.11;0
80;Daniel Amartey;GHA;DF;Leicester City;Premier League;2728;23;2123;0;0.08;0.04
81;Amath;SEN;FWMF;Mallorca;La Liga;2519;9;884;0;1.12;0.41
82;Jordan Amavi;FRA;DF;Marseille;Ligue 1;282;2;128;0;0;0
83;Jordan Amavi;FRA;DF;Nice;Ligue 1;288;4;413;0;0;0
84;Wisdom Amey;ITA;DF;Bologna;Serie A;161;1;71;0;0;0
85;Kelvin Amian;FRA;DF;Spezia;Serie A;2432;31;2646;0.03;0.88;0.24
86;Nadiem Amiri;GER;MFFW;Genoa;Serie A;2513;9;683;0;2.11;0.79
87;Nadiem Amiri;GER;MFFW;Leverkusen;Bundesliga;2513;3;369;0.24;1.95;0.49
88;Ethan Ampadu;WAL;MFDF;Venezia;Serie A;2129;26;2282;0;0.28;0.04
89;Sofyan Amrabat;MAR;MF;Fiorentina;Serie A;2523;8;944;0.1;0.38;0.29
90;Joachim Andersen;DEN;DF;Crystal Palace;Premier League;2534;32;2916;0;0.25;0.09
91;Felipe Anderson;BRA;FW;Lazio;Serie A;2938;33;2888;0.19;1.37;0.5
92;Sebastian Andersson;SWE;FW;K�ln;Bundesliga;3026;13;1257;0.21;2.5;0.93
93;Florin Andone;ROU;FW;C�diz;La Liga;295;1;176;0;1.5;0.5
94;Andr�s Andrade Cede�o;PAN;DF;Arminia;Bundesliga;2317;12;1046;0;0.6;0.26
95;Fredrik Andr� Bj�rkan;NOR;DF;Hertha BSC;Bundesliga;239;2;353;0;0;0
96;Benjamin Andr�;FRA;MF;Lille;Ligue 1;3133;33;2752;0.07;0.59;0.16
97;Robert Andrich;GER;MF;Leverkusen;Bundesliga;2726;21;1817;0.2;1.49;0.35
98;Jos� �ngel;ESP;DF;Osasuna;La Liga;3223;12;1083;0.08;0.92;0.25
99;Angeli�o;ESP;DF;RB Leipzig;Bundesliga;2529;26;2298;0.08;0.59;0.27
100;Ebenezer Annan;GHA;DF;Bologna;Serie A;191;0;25;0;0;0
101;Cristian Ansaldi;ARG;DF;Torino;Serie A;3519;5;691;0;0.91;0.13
102;Janis Antiste;FRA;FW;Spezia;Serie A;1918;9;796;0.11;1.25;0.23
103;Waldemar Anton;GER;DF;Stuttgart;Bundesliga;2529;29;2595;0.07;0.8;0.21
104;Josep Antoni Gay�;ESP;DF;Mallorca;La Liga;211;1;58;0;0;0
105;Michail Antonio;JAM;FW;West Ham;Premier League;3236;34;2971;0.3;2.52;0.82
106;Christopher Antwi-Adjei;GHA;FWMF;Bochum;Bundesliga;2825;12;1130;0.08;2.3;0.79
107;Houssem Aouar;FRA;MFFW;Lyon;Ligue 1;2336;29;2504;0.22;2.77;0.9
108;Adil Aouchiche;FRA;MFFW;Saint-�tienne;Ligue 1;1935;11;1081;0;1.83;0.83
109;Dennis Appiah;FRA;DF;Nantes;Ligue 1;2932;22;2099;0;0.09;0
110;Mauro Arambarri;URU;MF;Getafe;La Liga;2631;31;2663;0;1.25;0.27
111;Mattia Aramu;ITA;MFFW;Venezia;Serie A;2732;25;2100;0.3;2.45;0.69
112;Charles Ar�nguiz;CHI;MF;Leverkusen;Bundesliga;3326;16;1578;0.06;0.63;0.17
113;N�stor Araujo;MEX;DF;Celta Vigo;La Liga;3034;29;2617;0;0.27;0.03
114;Ronald Ara�jo;URU;DF;Barcelona;La Liga;2330;25;2272;0.16;0.75;0.4
115;Cameron Archer;ENG;MFFW;Aston Villa;Premier League;203;0;27;0;3.33;0
116;Alphonse Areola;FRA;GK;West Ham;Premier League;291;1;90;0;0;0
117;Jes�s Areso;ESP;DF;Osasuna;La Liga;223;2;188;0;0;0
118;Matias Arezo;URU;FW;Granada;La Liga;198;1;162;0;2.78;1.67
119;Santiago Arias;COL;DF;Granada;La Liga;3012;4;440;0.2;0.61;0.2
120;Adam Armstrong;ENG;FW;Southampton;Premier League;2523;17;1413;0.13;2.99;0.89
121;Stuart Armstrong;SCO;MF;Southampton;Premier League;3025;15;1473;0.12;2.32;0.55
122;Marko Arnautovi?;AUT;FW;Bologna;Serie A;3333;32;2694;0.47;3.04;1.07
123;Maximilian Arnold;GER;MF;Wolfsburg;Bundesliga;2834;34;2994;0.12;1.2;0.42
124;Kepa Arrizabalaga;ESP;GK;Chelsea;Premier League;274;4;360;0;0;0
125;Tolgay Arslan;GER;MF;Udinese;Serie A;3130;22;1658;0.05;1.25;0.49
126;Arthur;BRA;FW;Fiorentina;Serie A;2414;8;749;0.24;2.77;0.96
127;Santiago Arzamendia;PAR;MFDF;C�diz;La Liga;2414;5;469;0.19;1.15;0.19
128;Takuma Asano;JPN;FWMF;Bochum;Bundesliga;2727;20;1608;0.17;1.79;0.61
129;Santiago Ascac�bar;ARG;MF;Hertha BSC;Bundesliga;2528;27;2375;0;0.49;0.04
130;Sergio Asenjo;ESP;GK;Villarreal;La Liga;326;6;540;0;0;0
131;Alejandro Asensio;ESP;FW;Rayo Vallecano;La Liga;212;0;12;0;10;0
132;Marco Asensio;ESP;FWMF;Real Madrid;La Liga;2631;19;1731;0.52;3.33;1.61
133;Harrison Ashby;SCO;DF;West Ham;Premier League;201;0;7;0;0;0
134;Kristoffer Askildsen;NOR;MF;Sampdoria;Serie A;2119;7;754;0;0.83;0
135;Fisnik Asllani;KVX;MFFW;Hoffenheim;Bundesliga;192;0;9;0;0;0
136;Kristjan Asllani;ALB;MF;Empoli;Serie A;2023;14;1353;0.07;1.07;0.4
137;Iago Aspas;ESP;FW;Celta Vigo;La Liga;3437;36;3087;0.5;2.45;1.08
138;Lorenz Assignon;TOG;DF;Rennes;Ligue 1;2120;5;616;0;0.88;0.59
139;Simon Asta;GER;DF;Greuther F�rth;Bundesliga;2113;9;783;0;0.34;0
140;Youcef Atal;ALG;DF;Nice;Ligue 1;2617;13;1140;0.16;1.1;0.39
141;Pierre-Emerick Aubameyang;GAB;FW;Barcelona;La Liga;3217;13;1082;0.92;3.17;1.67
142;Pierre-Emerick Aubameyang;GAB;FW;Arsenal;Premier League;3214;12;1037;0.35;2.87;1.39
143;Emil Audero;ITA;GK;Sampdoria;Serie A;2529;29;2560;0;0;0
144;Tommaso Augello;ITA;DF;Sampdoria;Serie A;2736;25;2395;0.04;0.26;0.08
145;Jean-K�vin Augustin;FRA;FWMF;Nantes;Ligue 1;247;0;84;0;2.22;0
146;Ludwig Augustinsson;SWE;DF;Sevilla;La Liga;2819;9;793;0;0.45;0.23
147;Serge Aurier;CIV;DF;Villarreal;La Liga;2919;10;1010;0;0.98;0.18
148;Ezequiel �vila;ARG;FWMF;Osasuna;La Liga;2836;22;1870;0.29;2.88;0.72
149;Taiwo Awoniyi;NGA;FW;Union Berlin;Bundesliga;2431;29;2174;0.62;2.73;1.24
150;Ramzi Aya;ITA;DF;Salernitana;Serie A;312;2;135;0;0.67;0
151;Jordan Ayew;GHA;FW;Crystal Palace;Premier League;3031;23;2019;0.13;1.56;0.36
152;Kaan Ayhan;TUR;DF;Sassuolo;Serie A;2723;14;1354;0.07;0.33;0.07
153;Luke Ayling;ENG;DF;Leeds United;Premier League;3026;26;2272;0.08;0.75;0.12
154;Karim Azamoum;FRA;DF;Troyes;Ligue 1;327;4;388;0;0.7;0.7
155;Sardar Azmoun;IRN;FWMF;Leverkusen;Bundesliga;279;4;359;0.25;2.5;1
156;C�sar Azpilicueta;ESP;DF;Chelsea;Premier League;3227;24;2070;0.04;0.57;0.17
157;Iddrisu Baba;GHA;MF;Mallorca;La Liga;2626;23;1934;0.09;1.02;0.37
158;Carlos Bacca;COL;FW;Granada;La Liga;3517;4;513;0;1.58;0.35
159;Daniel Bachmann;AUT;GK;Watford;Premier League;2712;12;1080;0;0;0
160;Lo�c Bade;FRA;DF;Rennes;Ligue 1;2214;11;985;0;0.64;0
161;Milan Badelj;CRO;MF;Genoa;Serie A;3334;34;2844;0.03;0.7;0.16
162;�dgar Bad�a;ESP;GK;Elche;La Liga;3024;24;2160;0;0;0
163;Beno�t Badiashile;FRA;DF;Monaco;Ligue 1;2124;21;1838;0.05;0.69;0.2
164;Youssouph Badji;SEN;FW;Brest;Ligue 1;209;1;135;0;1.33;0
165;Miguel Baeza;ESP;DF;Celta Vigo;La Liga;221;0;2;0;0;0
166;Nicola Bagnolini;ITA;GK;Bologna;Serie A;181;0;3;0;0;0
167;Issa Bah;LUX;FW;Venezia;Serie A;191;0;9;0;0;0
168;St�phane Bahoken;CMR;FW;Angers;Ligue 1;3029;12;1099;0.25;1.97;1.15
169;Leon Bailey;JAM;FWMF;Aston Villa;Premier League;2418;7;761;0.12;2.47;0.94
170;Eric Bailly;CIV;DF;Manchester Utd;Premier League;284;3;217;0;0;0
171;D�nys Bain;FRA;DF;Brest;Ligue 1;282;2;180;0;0;0
172;Stefan Bajic;FRA;GK;Saint-�tienne;Ligue 1;207;4;510;0;0;0
173;Nedim Bajrami;ALB;MFFW;Empoli;Serie A;2335;23;2054;0.26;2.24;0.79
174;C�dric Bakambu;COD;FW;Marseille;Ligue 1;3112;5;356;1;4.75;2
175;Abdoulaye Bakayoko;FRA;DF;Saint-�tienne;Ligue 1;194;4;307;0;0;0
176;Tiemou� Bakayoko;FRA;MF;Milan;Serie A;2714;5;501;0;0.71;0
177;Mitchel Bakker;NED;DF;Leverkusen;Bundesliga;2125;19;1822;0;0.45;0.1
178;Ridle Baku;GER;DFFW;Wolfsburg;Bundesliga;2434;28;2446;0.11;1.36;0.29
179;Dilane Bakwa;FRA;FWDF;Bordeaux;Ligue 1;195;0;43;0;4;2
180;Tommaso Baldanzi;ITA;FW;Empoli;Serie A;191;0;18;0;0;0
181;Alejandro Balde;ESP;DFFW;Barcelona;La Liga;185;2;188;0;0.48;0
182;Ibrahima Bald�;FRA;FWMF;Lens;Ligue 1;194;0;58;0;0;0
183;Keita Bald�;SEN;FWMF;Cagliari;Serie A;2726;14;1229;0.22;1.9;0.66
184;Gareth Bale;WAL;FW;Real Madrid;La Liga;325;4;280;0.32;4.84;1.94
185;Mikel Balenziaga;ESP;DF;Athletic Club;La Liga;3426;23;2027;0;0.27;0.09
186;Leonardo Balerdi;ARG;DF;Marseille;Ligue 1;2317;10;950;0;0.19;0
187;Iv�n Balliu;ALB;DF;Rayo Vallecano;La Liga;3035;35;3147;0.03;0.43;0.09
188;Fod� Ballo-Tour�;SEN;DF;Milan;Serie A;2510;5;446;0;0.6;0.2
189;Folarin Balogun;ENG;FW;Arsenal;Premier League;202;1;70;0;3.75;0
190;Abdoulaye Bamba;CIV;DF;Angers;Ligue 1;3210;4;458;0;0.2;0
191;Jonathan Bamba;FRA;MFFW;Lille;Ligue 1;2631;28;2428;0.04;1.89;0.44
192;Patrick Bamford;ENG;FW;Leeds United;Premier League;289;7;559;0.32;3.23;0.81
193;Filippo Bandinelli;ITA;MF;Empoli;Serie A;2735;24;1955;0.09;1.84;0.55
194;Mattia Bani;ITA;DF;Genoa;Serie A;2817;13;1211;0;0.67;0
195;Simon Banza;FRA;FW;Lens;Ligue 1;254;1;124;0.71;4.29;2.86
196;Shandon Baptiste;GRN;MF;Brentford;Premier League;2422;9;910;0.1;1.19;0.4
197;Anton�n Bar�k;CZE;FWMF;Hellas Verona;Serie A;2729;27;2340;0.42;1.85;0.77
198;Barbero;ESP;MFFW;Osasuna;La Liga;236;0;21;0;0;0
199;Danilo Barbosa;BRA;DF;Nice;Ligue 1;261;1;90;0;0;0
200;Barcia;ESP;DF;Granada;La Liga;211;1;75;0;0;0
201;Bradley Barcola;FRA;FWMF;Lyon;Ligue 1;1911;2;263;0;1.72;0.69
202;Melvin Bard;FRA;DF;Nice;Ligue 1;2133;30;2589;0.07;0.17;0.07
203;Enis Bardhi;MKD;MFFW;Levante;La Liga;2630;17;1701;0.16;2.17;0.37
204;Francesco Bardi;ITA;GK;Bologna;Serie A;302;2;177;0;0;0
205;Keidi Bare;ALB;MF;Espanyol;La Liga;2425;18;1481;0.06;0.3;0.06
206;Nicol� Barella;ITA;MF;Inter;Serie A;2536;36;2913;0.09;2.1;0.37
207;Kike Barja;ESP;MFFW;Osasuna;La Liga;2521;9;865;0.21;1.77;0.63
208;Ross Barkley;ENG;MF;Chelsea;Premier League;286;1;179;0.5;4.5;2
209;Aymen Barkok;MAR;MFFW;Eint Frankfurt;Bundesliga;245;2;160;0;1.11;0.56
210;Ashley Barnes;ENG;FW;Burnley;Premier League;3223;8;808;0.11;1.67;0.56
211;Harvey Barnes;ENG;FWMF;Leicester City;Premier League;2432;24;2101;0.26;2.88;1.03
212;Antonio Barrag�n;ESP;DF;Elche;La Liga;3416;12;1020;0;0.09;0
213;Leandro Barreiro Martins;LUX;MF;Mainz 05;Bundesliga;2231;20;1789;0.05;1.61;0.45
214;Ander Barrenetxea;ESP;FWMF;Real Sociedad;La Liga;2011;6;547;0.16;1.31;0.33
215;Jacob Barrett Laursen;DEN;DF;Arminia;Bundesliga;2724;20;1632;0.11;0.44;0.22
216;Musa Barrow;GAM;FWMF;Bologna;Serie A;2334;25;2134;0.25;3.04;1.18
217;Abdourahmane Barry;FRA;DF;Greuther F�rth;Bundesliga;228;1;210;0;0.43;0
218;Marc Bartra;ESP;DF;Betis;La Liga;3123;23;1993;0.05;0.68;0.14
219;Daniele Baselli;ITA;MFFW;Torino;Serie A;306;0;150;0;0.59;0
220;Daniele Baselli;ITA;MF;Cagliari;Serie A;309;2;290;0;1.56;0
221;Toma Ba�i?;CRO;MF;Lazio;Serie A;2529;9;982;0;1.47;1.01
222;Toma Ba�i?;CRO;MF;Bordeaux;Ligue 1;253;3;209;0;0.87;0
223;Amine Bassi;FRA;MF;Metz;Ligue 1;245;2;184;0;2;0.5
224;�lvaro Bastida;ESP;MF;C�diz;La Liga;186;2;197;0;0;0
225;Alessandro Bastoni;ITA;DF;Inter;Serie A;2331;29;2311;0.04;0.35;0.08
226;Simone Bastoni;ITA;MFDF;Spezia;Serie A;2531;26;2288;0.12;1.1;0.24
227;Lewis Bate;ENG;MF;Leeds United;Premier League;193;1;146;0;0.63;0
228;Rodrigo Battaglia;ARG;MF;Mallorca;La Liga;3026;12;1179;0;0.38;0.08
229;Maximilian Bauer;GER;DF;Greuther F�rth;Bundesliga;2226;18;1690;0;0.32;0.05
230;Oliver Baumann;GER;GK;Hoffenheim;Bundesliga;3133;33;2970;0;0;0
231;Timo Baumgartl;GER;DF;Union Berlin;Bundesliga;2625;25;2166;0.04;0.54;0.17
232;Julian Baumgartlinger;AUT;MF;Leverkusen;Bundesliga;346;1;88;0;0;0
233;Christoph Baumgartner;AUT;MFFW;Hoffenheim;Bundesliga;2229;23;1888;0.33;2;0.81
234;Jon Bautista;ESP;FWMF;Real Sociedad;La Liga;261;0;45;0;2;0
235;Mohamed Bayo;GUI;FW;Clermont Foot;Ligue 1;2332;27;2413;0.52;2.31;0.97
236;Paul Baysse;FRA;DF;Bordeaux;Ligue 1;342;0;11;0;0;0
237;Noah Joel Sarenren Bazee;NGA;MFFW;Augsburg;Bundesliga;2514;1;241;0.37;2.59;1.11
238;Beb�;CPV;FWMF;Rayo Vallecano;La Liga;3129;6;867;0.1;5.1;0.73
239;Ihlas Bebou;TOG;FWDF;Hoffenheim;Bundesliga;2828;25;2091;0.3;1.94;0.6
240;Rodrigo Bec�o;BRA;DF;Udinese;Serie A;2635;35;3130;0.06;0.55;0.14
241;Mads Bech S�rensen;DEN;DF;Brentford;Premier League;2311;9;835;0;0.22;0
242;Sheraldo Becker;SUR;FWMF;Union Berlin;Bundesliga;2728;22;1758;0.21;1.9;0.92
243;Jan Bednarek;POL;DF;Southampton;Premier League;2631;30;2629;0.14;0.65;0.24
244;Donny van de Beek;NED;MF;Manchester Utd;Premier League;258;0;75;1.25;2.5;1.25
245;Donny van de Beek;NED;MF;Everton;Premier League;257;5;483;0.19;0.93;0.19
246;Asmir Begovi?;BIH;GK;Everton;Premier League;343;3;270;0;0;0
247;Valon Behrami;SUI;MF;Genoa;Serie A;3710;2;311;0;0.29;0
248;Kevin Behrens;GER;FW;Union Berlin;Bundesliga;3124;2;499;0.36;2.91;1.27
249;Youcef Bela�li;ALG;MFFW;Brest;Ligue 1;3013;11;825;0.33;1.74;0.65
250;Vid Belec;SVN;GK;Salernitana;Serie A;3123;21;1938;0;0;0
251;Ishak Belfodil;ALG;FW;Hertha BSC;Bundesliga;3026;17;1636;0.27;1.87;0.93
252;Haris Belkebla;ALG;MF;Brest;Ligue 1;2831;26;2310;0;0.16;0.04
253;Stefan Bell;GER;DF;Mainz 05;Bundesliga;3033;33;2864;0.06;0.69;0.16
254;Armel Bella Kotchap;GER;DF;Bochum;Bundesliga;2022;20;1768;0;0.51;0.15
255;Raoul Bellanova;ITA;DF;Cagliari;Serie A;2131;27;2496;0.04;0.83;0.18
256;Karim Bellarabi;GER;FWDF;Leverkusen;Bundesliga;3216;9;683;0.39;3.68;1.45
257;Jean-Ricner Bellegarde;FRA;MF;Strasbourg;Ligue 1;2336;26;2332;0.08;1.2;0.27
258;H�ctor Beller�n;ESP;DF;Betis;La Liga;2723;22;1979;0;0.45;0.05
259;Jude Bellingham;ENG;MF;Dortmund;Bundesliga;1832;32;2790;0.1;1.42;0.39
260;George Bello;USA;DF;Arminia;Bundesliga;2010;3;434;0;0.63;0
261;Jeanuel Belocian;FRA;DF;Rennes;Ligue 1;171;0;12;0;0;0
262;Andrea Belotti;ITA;FW;Torino;Serie A;2822;16;1371;0.53;3.62;1.05
263;Fran Beltr�n;ESP;MF;Celta Vigo;La Liga;2337;31;2597;0.03;0.69;0.14
264;Hatem Ben Arfa;FRA;FWMF;Lille;Ligue 1;357;4;314;0;0.86;0.29
265;Salim Ben Seghir;FRA;FW;Marseille;Ligue 1;191;0;1;0;0;0
266;Wissam Ben Yedder;FRA;FW;Monaco;Ligue 1;3137;29;2529;0.89;2.31;1.25
267;Marco Benassi;ITA;DFMF;Fiorentina;Serie A;276;1;158;0;1.67;0
268;Marco Benassi;ITA;MF;Empoli;Serie A;2712;3;382;0;1.67;0.95
269;Dar�o Benedetto;ARG;FWMF;Marseille;Ligue 1;322;0;54;0;5;0
270;Dar�o Benedetto;ARG;FW;Elche;La Liga;3214;6;590;0.3;2.73;0.91
271;L�szl� B�nes;SVK;MF;M'Gladbach;Bundesliga;2413;2;246;0;2.59;1.85
272;Walter Ben�tez;ARG;GK;Nice;Ligue 1;2937;37;3330;0;0;0
273;Iker Benito;ESP;MFFW;Osasuna;La Liga;194;1;118;0;2.31;0.77
274;Loris Benito;SUI;DF;Bordeaux;Ligue 1;301;1;61;0;0;0
275;Pedro Benito;ESP;FW;C�diz;La Liga;221;0;31;0;0;0
276;Filip Benkovi?;CRO;DFFW;Udinese;Serie A;242;0;8;0;10;10
277;Isma�l Bennacer;ALG;MF;Milan;Serie A;2431;15;1525;0.12;0.95;0.36
278;Keanan Bennetts;ENG;FWDF;M'Gladbach;Bundesliga;234;0;50;0;1.67;0
279;Sa�d Benrahma;ALG;FWMF;West Ham;Premier League;2632;26;2168;0.33;2.61;0.91
280;Ramy Bensebaini;ALG;DF;M'Gladbach;Bundesliga;2723;22;2020;0.18;1.29;0.31
281;Nabil Bentaleb;ALG;MF;Angers;Ligue 1;2718;18;1515;0.06;0.89;0.42
282;Rodrigo Bentancur;URU;MF;Tottenham;Premier League;2417;16;1361;0;0.93;0.13
283;Rodrigo Bentancur;URU;MF;Juventus;Serie A;2419;13;1155;0;0.63;0.08
284;Christian Benteke;BEL;FW;Crystal Palace;Premier League;3125;11;1145;0.31;3.07;1.02
285;Karim Benzema;FRA;FW;Real Madrid;La Liga;3432;31;2593;0.94;4.1;1.63
286;Alessandro Berardi;ITA;GK;Hellas Verona;Serie A;311;1;90;0;0;0
287;Domenico Berardi;ITA;FW;Sassuolo;Serie A;2733;33;2819;0.48;3.29;1.28
288;Yuri Berchiche;ESP;DF;Athletic Club;La Liga;3214;11;1015;0.09;0.71;0.27
289;�lex Berenguer;ESP;MFFW;Athletic Club;La Liga;2634;24;2168;0.12;1.91;0.58
290;Bartosz Bereszy?ski;POL;DF;Sampdoria;Serie A;2935;35;2946;0;0.18;0.03
291;J�hann Berg Gu?mundsson;ISL;MF;Burnley;Premier League;3118;13;1102;0;1.56;0.33
