Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
993;Anwar El Ghazi;NED;FWMF;Aston Villa;Premier League;279;4;386;0.23;1.63;0.47
994;Lamine Ghezali;FRA;DF;Saint-�tienne;Ligue 1;221;0;1;0;0;0
995;Paolo Ghiglione;ITA;DF;Genoa;Serie A;2513;6;603;0;1.19;0.6
996;Saman Ghoddos;IRN;DFMF;Brentford;Premier League;2817;4;536;0.17;1.33;0.33
997;Faouzi Ghoulam;ALG;DF;Napoli;Serie A;3114;3;332;0;0.81;0.27
998;Dimitris Giannoulis;GRE;DF;Norwich City;Premier League;2618;14;1169;0;0.23;0.15
999;Morgan Gibbs-White;ENG;FWMF;Wolves;Premier League;222;0;9;0;20;0
1000;Ben Gibson;ENG;DF;Norwich City;Premier League;2928;28;2494;0;0.29;0.14
1001;Niko Gie�elmann;GER;DF;Union Berlin;Bundesliga;3028;25;2083;0.13;1.17;0.52
1002;Rafa? Gikiewicz;POL;GK;Augsburg;Bundesliga;3434;34;3060;0;0;0
1003;�scar Gil;ESP;DF;Espanyol;La Liga;2522;20;1688;0;0.32;0.05
1004;Mario Gila;ESP;DF;Real Madrid;La Liga;212;0;25;0;0;0
1005;Billy Gilmour;SCO;MF;Norwich City;Premier League;2024;21;1855;0;0.87;0.15
1006;Daniel Ginczek;GER;MFFW;Wolfsburg;Bundesliga;312;0;13;0;10;10
1007;Matthias Ginter;GER;DF;M'Gladbach;Bundesliga;2828;27;2355;0.04;1.18;0.53
1008;Nicholas Gioacchini;USA;MFFW;Montpellier;Ligue 1;2128;3;497;0;2;0.18
1009;Sebastian Giovinco;ITA;MF;Sampdoria;Serie A;352;0;39;0;2.5;0
1010;Jimmy Giraudon;FRA;DF;Troyes;Ligue 1;3019;18;1619;0;0;0
1011;Andrei Girotto;BRA;DFMF;Nantes;Ligue 1;3036;36;3146;0.17;1.29;0.29
1012;Olivier Giroud;FRA;FW;Milan;Serie A;3529;22;1892;0.52;2.9;1.1
