153:2006,20,Branko Ivanković,269
154:2006,119,Oliveira Gonçalves,
155:2006,48,Henri Michel,269
156:2006,214,Ilija Petković,
157:2006,31,Alexandre Guimarães,269
158:2006,26,Paweł Janas,
159:2006,47,Aníbal Ruiz,269
160:2006,104,Leo Beenhakker,
161:2002,11,Rudi Völler,269
162:2002,1,Luiz Felipe Scolari,
163:2002,28,Guus Hiddink,269
164:2002,45,Şenol Güneş,
165:2002,7,José Antonio Camacho,269
166:2002,18,Bruno Metsu,269
167:2002,5,Sven-Göran Eriksson,269
168:2002,212,Bruce Arena,269
169:2002,24,Philippe Troussier,269
170:2002,6,Giovanni Trapattoni,269
171:2002,13,Javier Aguirre,269
172:2002,2,Robert Waseige,269
173:2002,25,Lars Lagerbäck,269
174:2002,49,Mick McCarthy,269
175:2002,47,Cesare Maldini,269
176:2002,10,Morten Olsen,269
177:2002,30,Ammar Souayah,269
178:2002,33,Oleg Romantsev,269
179:2002,9,António Luís Alves Ribeiro Oliveira,269
180:2002,26,Jerzy Engel,269
181:2002,31,Alexandre Guimarães,269
182:2002,79,Bora Milutinović,269
183:2002,44,Hernán Darío Gómez,269
184:2002,12,Mirko Jozić,
185:2002,3,Marcelo Bielsa,269
186:2002,32,Festus Onigbinde,269
187:2002,67,Jomo Sono,269
188:2002,63,Srečko Katanec,269
189:2002,4,Roger Lemerre,269
190:2002,14,Víctor Púa,269
191:2002,51,Nasser Al-Johar,269
192:2002,43,Winfried Schäfer,269
193:1998,1,Mário Zagallo,269
194:1998,4,Aimé Jacquet,
195:1998,8,Guus Hiddink,269
196:1998,12,Miroslav Blažević,
197:1998,3,Daniel Passarella,269
198:1998,11,Berti Vogts,269
199:1998,6,Cesare Maldini,269
200:1998,10,Bo Johansson,269
201:1998,53,Anghel Iordănescu,269
202:1998,5,Glenn Hoddle,269
203:1998,13,Manuel Lapuente,269
204:1998,215,Slobodan Santrač,269
205:1998,47,Paulo César Carpegiani,269
206:1998,32,Bora Milutinović,269
207:1998,42,Egil Olsen,269
208:1998,29,Nelson Acosta,269
209:1998,24,Takeshi Okada,269
210:1998,64,René Simões,
211:1998,30,Ali Selmi,269
212:1998,17,Hernán Darío Gómez,269
213:1998,2,Georges Leekens,269
214:1998,28,Kim Pyung-seok,
215:1998,212,Steve Sampson,269
216:1998,20,Jalal Talebi,269
217:1998,67,Philippe Troussier,269
218:1998,51,Mohammed Al-Kharashy,
219:1998,7,Javier Clemente,269
220:1998,72,Hristo Bonev,
221:1998,34,Herbert Prohaska,269
222:1998,43,Claude Le Roy,269
223:1998,40,Craig Brown,269
224:1998,22,Henri Michel,
225:1994,1,Carlos Alberto Parreira,649
226:1994,6,Arrigo Sacchi,650
227:1994,25,Tommy Svensson,651
228:1994,72,Dimitar Penev,652
229:1994,11,Berti Vogts,659
230:1994,53,Anghel Iordanescu,662
231:1994,7,Javier Clemente,664
232:1994,8,Dick Advocaat,667
233:1994,32,Clemens Westerhof,670
234:1994,13,Miguel Mejia Baron,672
235:1994,49,Jack Charlton,673
236:1994,212,Bora Milutinovic,675
237:1994,51,Jorge Solari,676
238:1994,3,Alfio Basile,679
239:1994,2,Paul Van Himst,683
240:1994,15,Roy Hodgson,687
241:1994,52,Alkis Panagoulias,688
242:1994,22,Abdellah Blinda,693
243:1994,42,Egil Olsen,701
244:1994,33,Pavel Sadyrin,702
245:1994,43,Henri Michel,703
246:1994,28,Ho Kon Kim,708
247:1994,82,Xavier Azkargorta Uriarte,711
248:1994,17,Francisco Maturana,715
249:1990,11,Franz Beckenbauer,659
250:1990,3,Carlos Bilardo,721
251:1990,6,Azeglio Vicini,748
252:1990,5,Bobby Robson,749
253:1990,216,Jozef Venglos,755
254:1990,43,Valeri Nepomnyashchi,703
255:1990,217,Ivica Osim,757
256:1990,49,Jack Charlton,758
257:1990,7,Luis Suarez,759
258:1990,2,Guy Thys,760
259:1990,53,Emerich Jenei,762
260:1990,14,Oscar Tabarez,763
261:1990,1,Sebastiao Lazaroni,765
262:1990,8,Leo Beenhakker,766
263:1990,17,Francisco Maturana,715
