Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;Pts;xG;Top Team Scorer;Goalkeeper
1;Barcelona;ESP;1;29;23;4;2;53;9;73;55.9;Robert Lewandowski - 17;Marc-Andr� ter Stegen
2;Napoli;ITA;1;30;24;3;3;66;21;75;53.2;Victor Osimhen - 21;Alex Meret
3;Paris S-G;FRA;1;32;24;3;5;75;31;75;64.7;Kylian Mbapp� - 22;Gianluigi Donnarumma
4;Arsenal;ENG;1;32;23;6;3;77;34;75;64.1;Martinelli - 15;Aaron Ramsdale
5;Manchester City;ENG;2;30;22;4;4;78;28;70;63.5;Erling Haaland - 32;Ederson
6;Real Madrid;ESP;2;30;20;5;5;63;24;65;64.1;Karim Benzema - 14;Thibaut Courtois
7;Dortmund;GER;1;29;19;3;7;66;39;60;52.7;Julian Brandt - 8;Gregor Kobel
8;Atl�tico Madrid;ESP;3;29;18;6;5;47;21;60;45.2;Antoine Griezmann - 11;Jan Oblak
9;Lens;FRA;2;32;19;9;4;54;25;66;56.5;Lo�s Openda - 17;Brice Samba
10;Marseille;FRA;3;31;19;7;5;57;30;64;53.5;Alexis S�nchez - 12;Pau L�pez
11;Bayern Munich;GER;2;29;17;8;4;79;33;59;62.7;Jamal Musiala - 11;Yann Sommer
12;Lazio;ITA;2;31;18;7;6;49;21;61;39.9;Ciro Immobile Mattia Zaccagni - 10;Ivan Provedel
13;Juventus;ITA;3;30;18;5;7;47;25;59;43.9;Adrien Rabiot Du�an Vlahovi? - 8;Wojciech Szcz?sny
14;Manchester Utd;ENG;3;30;18;5;7;46;37;59;49.3;Marcus Rashford - 15;David de Gea
15;Monaco;FRA;4;32;18;7;7;66;46;61;53.7;Wissam Ben Yedder - 17;Alexander N�bel
16;Newcastle Utd;ENG;4;30;15;11;4;48;24;56;50.4;Miguel Almir�n - 11;Nick Pope
17;Roma;ITA;4;30;17;5;8;42;26;56;47.4;Paulo Dybala - 11;Rui Patr�cio
18;Union Berlin;GER;3;28;15;7;6;43;31;52;30.8;Sheraldo Becker - 8;Frederik R�nnow
19;RB Leipzig;GER;4;28;15;6;7;53;35;51;49.8;Christopher Nkunku - 12;Janis Blaswich
20;Real Sociedad;ESP;4;30;16;6;8;39;29;54;38.9;Alexander S�rloth - 10;�lex Remiro
21;Freiburg;GER;5;28;14;8;6;41;37;50;38.9;Vincenzo Grifo - 13;Mark Flekken
22;Milan;ITA;5;30;15;8;7;49;37;53;47;Rafael Le�o - 10;Ciprian T?t?ru?anu
23;Lille;FRA;5;32;16;8;8;57;40;56;59.2;Jonathan David - 21;Lucas Chevalier
24;Rennes;FRA;6;31;16;5;10;51;33;53;48.6;Amine Gouiri - 10;Steve Mandanda
25;Tottenham;ENG;5;31;16;5;10;57;45;53;45.4;Harry Kane - 23;Hugo Lloris
26;Inter;ITA;6;30;16;3;11;48;34;51;55;Lautaro Mart�nez - 14;Andr� Onana
27;Brighton;ENG;8;29;14;7;8;54;37;49;54;Alexis Mac Allister - 8;Robert S�nchez
28;Atalanta;ITA;7;30;14;7;9;48;35;49;46.6;Ademola Lookman - 13;Juan Musso
29;Villarreal;ESP;6;29;14;5;10;38;28;47;43.1;Jos� Luis Morales - 7;Pepe Reina Ger�nimo Rulli
